Timestamp,Class,Confidence,BBox
2025-12-09 18:19:17.328134,wheel_handle_valve,0.39,"[209.150390625, 270.937255859375, 541.0771484375, 594.4127197265625]"
2025-12-09 18:19:20.225910,wheel_handle_valve,0.37,"[222.46902465820312, 119.810302734375, 575.0139770507812, 582.1002197265625]"
2025-12-09 18:19:43.707367,wheel_handle_valve,0.63,"[209.881591796875, 274.02850341796875, 553.8948974609375, 575.4317626953125]"
2025-12-09 18:19:45.631842,wheel_handle_valve,0.31,"[240.2518310546875, 271.20989990234375, 544.888671875, 574.2135009765625]"
2025-12-09 18:19:47.078645,fire_extinguisher,0.26,"[204.35215759277344, 273.8970642089844, 535.7185668945312, 590.811767578125]"
2025-12-09 18:19:54.343766,wheel_handle_valve,0.28,"[214.661865234375, 223.49295043945312, 552.9764404296875, 498.761962890625]"
2025-12-09 18:20:03.539476,wheel_handle_valve,0.30,"[178.8979949951172, 114.91166687011719, 573.0865478515625, 587.1729736328125]"
2025-12-09 18:20:13.214912,wheel_handle_valve,0.27,"[181.8206329345703, 133.96725463867188, 549.08642578125, 550.1666259765625]"
2025-12-09 18:20:22.372212,wheel_handle_valve,0.30,"[210.97177124023438, 144.7794647216797, 555.3723754882812, 577.4754638671875]"
2025-12-09 18:20:23.340560,wheel_handle_valve,0.60,"[218.81747436523438, 184.3872833251953, 543.1229248046875, 590.8318481445312]"
2025-12-09 18:20:23.827104,wheel_handle_valve,0.49,"[227.4364776611328, 222.662841796875, 545.2946166992188, 575.10205078125]"
